# t (s)	mx ()	my ()	mz ()	E_total (J)
9.5e-08	0.45642212	0.49809733	0	-9.7083927e-20
9.600000000000001e-08	0.4477358	0.49726096	0	-9.894211e-20
9.700000000000001e-08	0.43906534	0.49627307	0	-1.00796914e-19
9.8e-08	0.4304134	0.49513406	0	-1.0264774e-19
9.9e-08	0.42178276	0.49384418	0	-1.0449403e-19
1.0000000000000001e-07	0.41317588	0.4924039	0	-1.0633523e-19
1.01e-07	0.4045955	0.4908136	0	-1.0817075e-19
1.02e-07	0.39604416	0.48907384	0	-1.1000008e-19
1.0300000000000001e-07	0.3875245	0.48718506	0	-1.118226e-19
1.04e-07	0.37903905	0.48514786	0	-1.1363784e-19
1.05e-07	0.37059045	0.4829629	0	-1.1544516e-19
1.0600000000000001e-07	0.3621813	0.48063084	0	-1.1724408e-19
1.07e-07	0.35381413	0.4781524	0	-1.1903399e-19
1.08e-07	0.3454915	0.47552827	0	-1.208144e-19
1.0900000000000001e-07	0.33721587	0.47275934	0	-1.2258473e-19
1.1e-07	0.3289899	0.46984634	0	-1.2434443e-19
1.11e-07	0.32081604	0.46679023	0	-1.2609301e-19
1.1200000000000001e-07	0.3126967	0.46359193	0	-1.2782992e-19
1.13e-07	0.30463445	0.46025246	0	-1.295546e-19
1.14e-07	0.29663166	0.4567727	0	-1.3126656e-19
1.1500000000000001e-07	0.28869087	0.4531539	0	-1.3296528e-19
1.16e-07	0.2808144	0.449397	0	-1.346502e-19
1.17e-07	0.27300477	0.44550326	0	-1.3632088e-19
1.1800000000000001e-07	0.2652642	0.4414738	0	-1.3797675e-19
1.1900000000000001e-07	0.25759518	0.43730986	0	-1.3961731e-19
1.2000000000000002e-07	0.25	0.4330127	0	-1.412421e-19
1.21e-07	0.24248098	0.42858368	0	-1.4285058e-19
1.22e-07	0.23504037	0.42402405	0	-1.4444229e-19
1.23e-07	0.22768046	0.41933528	0	-1.4601674e-19
1.24e-07	0.22040352	0.4145188	0	-1.4757342e-19
1.2500000000000002e-07	0.21321179	0.40957603	0	-1.4911191e-19
1.2600000000000002e-07	0.20610736	0.4045085	0	-1.5063168e-19
1.27e-07	0.19909245	0.39931777	0	-1.5213232e-19
1.28e-07	0.19216926	0.39400536	0	-1.5361335e-19
1.29e-07	0.18533981	0.388573	0	-1.5507432e-19
1.3e-07	0.17860618	0.38302222	0	-1.5651479e-19
1.31e-07	0.17197049	0.37735477	0	-1.579343e-19
1.3200000000000002e-07	0.16543469	0.3715724	0	-1.5933245e-19
1.33e-07	0.15900081	0.36567685	0	-1.607088e-19
1.34e-07	0.1526708	0.35966986	0	-1.6206293e-19
1.35e-07	0.14644659	0.35355338	0	-1.6339442e-19
1.36e-07	0.14033009	0.34732923	0	-1.6470287e-19
1.37e-07	0.13432314	0.34099922	0	-1.659879e-19
1.3800000000000002e-07	0.1284276	0.3345653	0	-1.6724907e-19
1.3900000000000001e-07	0.1226452	0.32802948	0	-1.6848607e-19
1.4e-07	0.11697779	0.32139382	0	-1.6969844e-19
1.41e-07	0.11142701	0.3146602	0	-1.7088587e-19
1.42e-07	0.105994605	0.30783072	0	-1.7204797e-19
1.43e-07	0.10068226	0.30090752	0	-1.7318439e-19
1.4400000000000002e-07	0.095491506	0.29389262	0	-1.7429483e-19
1.4500000000000001e-07	0.090423964	0.28678823	0	-1.753789e-19
1.46e-07	0.08548119	0.27959648	0	-1.7643624e-19
1.47e-07	0.08066473	0.27231953	0	-1.7746659e-19
1.48e-07	0.075975955	0.26495963	0	-1.7846962e-19
1.49e-07	0.071416356	0.25751904	0	-1.7944501e-19
1.5000000000000002e-07	0.0669873	0.25	0	-1.803925e-19
1.5100000000000002e-07	0.06269014	0.24240479	0	-1.8131173e-19
1.52e-07	0.05852618	0.23473579	0	-1.822025e-19
1.53e-07	0.054496747	0.22699524	0	-1.8306448e-19
1.54e-07	0.05060297	0.21918556	0	-1.8389744e-19
1.55e-07	0.046846095	0.21130913	0	-1.8470113e-19
1.5600000000000002e-07	0.043227293	0.20336834	0	-1.8547526e-19
1.5700000000000002e-07	0.039747573	0.19536556	0	-1.8621963e-19
1.58e-07	0.036408067	0.18730327	0	-1.8693404e-19
1.59e-07	0.03320978	0.179184	0	-1.8761824e-19
1.6e-07	0.030153692	0.17101009	0	-1.88272e-19
1.61e-07	0.02724073	0.16278408	0	-1.8889515e-19
1.6200000000000002e-07	0.024471737	0.1545085	0	-1.8948748e-19
1.6300000000000002e-07	0.021847606	0.14618586	0	-1.9004884e-19
1.64e-07	0.019369148	0.13781868	0	-1.9057905e-19
1.65e-07	0.017037056	0.12940954	0	-1.9107793e-19
1.66e-07	0.014852145	0.12096095	0	-1.915453e-19
1.67e-07	0.012814977	0.11247553	0	-1.9198111e-19
1.6800000000000002e-07	0.010926187	0.10395584	0	-1.9238518e-19
1.6900000000000002e-07	0.009186387	0.09540451	0	-1.9275737e-19
1.7000000000000001e-07	0.0075961137	0.08682409	0	-1.9309756e-19
1.71e-07	0.006155827	0.07821723	0	-1.9340565e-19
1.72e-07	0.0048659444	0.06958656	0	-1.9368161e-19
1.73e-07	0.0037268996	0.060934674	0	-1.9392528e-19
1.7400000000000002e-07	0.0027390504	0.052264232	0	-1.9413655e-19
1.7500000000000002e-07	0.0019026399	0.043577872	0	-1.9431552e-19
1.7600000000000001e-07	0.0012179613	0.034878235	0	-1.9446198e-19
1.77e-07	0.0006852365	0.02616798	0	-1.9457594e-19
1.78e-07	0.00030457973	0.017449748	0	-1.9465735e-19
1.79e-07	7.615328e-05	0.008726204	0	-1.9470623e-19
1.8000000000000002e-07	0	6.123234e-17	0	-1.9472253e-19
1.8100000000000002e-07	7.615328e-05	-0.008726204	0	-1.9470623e-19
1.8200000000000002e-07	0.00030457973	-0.017449748	0	-1.9465735e-19
1.83e-07	0.0006852365	-0.02616798	0	-1.9457594e-19
1.84e-07	0.0012179613	-0.034878235	0	-1.9446198e-19
1.85e-07	0.0019026399	-0.043577872	0	-1.9431552e-19
1.8600000000000002e-07	0.0027390504	-0.052264232	0	-1.9413655e-19
1.8700000000000002e-07	0.0037268996	-0.060934674	0	-1.9392528e-19
1.8800000000000002e-07	0.0048659444	-0.06958656	0	-1.9368161e-19
1.89e-07	0.006155827	-0.07821723	0	-1.9340565e-19
1.9e-07	0.0075961137	-0.08682409	0	-1.9309756e-19
1.91e-07	0.009186387	-0.09540451	0	-1.9275737e-19
1.9200000000000003e-07	0.010926187	-0.10395584	0	-1.9238518e-19
1.9300000000000002e-07	0.012814977	-0.11247553	0	-1.9198111e-19
1.9400000000000002e-07	0.014852145	-0.12096095	0	-1.915453e-19
1.95e-07	0.017037056	-0.12940954	0	-1.9107793e-19
1.96e-07	0.019369148	-0.13781868	0	-1.9057905e-19
1.97e-07	0.021847606	-0.14618586	0	-1.9004884e-19
1.98e-07	0.024471737	-0.1545085	0	-1.8948748e-19
1.9900000000000002e-07	0.02724073	-0.16278408	0	-1.8889515e-19
2.0000000000000002e-07	0.030153692	-0.17101009	0	-1.88272e-19
2.01e-07	0.03320978	-0.179184	0	-1.8761824e-19
2.02e-07	0.036408067	-0.18730327	0	-1.8693404e-19
2.03e-07	0.039747573	-0.19536556	0	-1.8621963e-19
2.04e-07	0.043227293	-0.20336834	0	-1.8547526e-19
2.0500000000000002e-07	0.046846095	-0.21130913	0	-1.8470113e-19
2.0600000000000002e-07	0.05060297	-0.21918556	0	-1.8389744e-19
2.0700000000000001e-07	0.054496747	-0.22699524	0	-1.8306448e-19
2.08e-07	0.05852618	-0.23473579	0	-1.822025e-19
2.09e-07	0.06269014	-0.24240479	0	-1.8131173e-19
2.1e-07	0.0669873	-0.25	0	-1.803925e-19
2.1100000000000002e-07	0.071416356	-0.25751904	0	-1.7944501e-19
2.1200000000000002e-07	0.075975955	-0.26495963	0	-1.7846962e-19
2.1300000000000001e-07	0.08066473	-0.27231953	0	-1.7746659e-19
2.14e-07	0.08548119	-0.27959648	0	-1.7643624e-19
2.15e-07	0.090423964	-0.28678823	0	-1.753789e-19
2.16e-07	0.095491506	-0.29389262	0	-1.7429483e-19
2.1700000000000002e-07	0.10068226	-0.30090752	0	-1.7318439e-19
2.1800000000000002e-07	0.105994605	-0.30783072	0	-1.7204797e-19
2.1900000000000002e-07	0.11142701	-0.3146602	0	-1.7088587e-19
2.2e-07	0.11697779	-0.32139382	0	-1.6969844e-19
2.21e-07	0.1226452	-0.32802948	0	-1.6848607e-19
2.22e-07	0.1284276	-0.3345653	0	-1.6724907e-19
2.2300000000000002e-07	0.13432314	-0.34099922	0	-1.659879e-19
2.2400000000000002e-07	0.14033009	-0.34732923	0	-1.6470287e-19
2.2500000000000002e-07	0.14644659	-0.35355338	0	-1.6339442e-19
2.26e-07	0.1526708	-0.35966986	0	-1.6206294e-19
2.27e-07	0.15900081	-0.36567685	0	-1.607088e-19
2.28e-07	0.16543469	-0.3715724	0	-1.5933245e-19
2.2900000000000003e-07	0.17197049	-0.37735477	0	-1.579343e-19
2.3000000000000002e-07	0.17860618	-0.38302222	0	-1.5651479e-19
2.3100000000000002e-07	0.18533981	-0.388573	0	-1.5507432e-19
2.32e-07	0.19216926	-0.39400536	0	-1.5361335e-19
2.33e-07	0.19909245	-0.39931777	0	-1.5213232e-19
2.34e-07	0.20610736	-0.4045085	0	-1.5063168e-19
2.3500000000000003e-07	0.21321179	-0.40957603	0	-1.4911191e-19
2.3600000000000002e-07	0.22040352	-0.4145188	0	-1.4757342e-19
2.3700000000000002e-07	0.22768046	-0.41933528	0	-1.4601674e-19
2.3800000000000001e-07	0.23504037	-0.42402405	0	-1.4444229e-19
2.39e-07	0.24248098	-0.42858368	0	-1.4285058e-19
2.4000000000000003e-07	0.25	-0.4330127	0	-1.412421e-19
2.41e-07	0.25759518	-0.43730986	0	-1.3961731e-19
2.42e-07	0.2652642	-0.4414738	0	-1.3797675e-19
2.43e-07	0.27300477	-0.44550326	0	-1.3632088e-19
2.44e-07	0.2808144	-0.449397	0	-1.346502e-19
2.4500000000000004e-07	0.28869087	-0.4531539	0	-1.3296528e-19
2.46e-07	0.29663166	-0.4567727	0	-1.3126656e-19
2.4700000000000003e-07	0.30463445	-0.46025246	0	-1.295546e-19
2.48e-07	0.3126967	-0.46359193	0	-1.2782992e-19
2.49e-07	0.32081604	-0.46679023	0	-1.2609301e-19
2.5000000000000004e-07	0.3289899	-0.46984634	0	-1.2434443e-19
2.51e-07	0.33721587	-0.47275934	0	-1.2258473e-19
2.5200000000000003e-07	0.3454915	-0.47552827	0	-1.208144e-19
2.53e-07	0.35381413	-0.4781524	0	-1.1903399e-19
2.54e-07	0.3621813	-0.48063084	0	-1.1724408e-19
