# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	0.9555652	-0.08391326	2.1192337e-37	-0.0060000005	0	0
0	0.954845	-0.08476475	2.1045416e-37	-0.0069999998	0	0
0	0.9541123	-0.08562335	2.1188054e-37	-0.008	0	0
0	0.9533663	-0.0864896	2.1336475e-37	-0.009	0	0
0	0.95260674	-0.087363906	2.134649e-37	-0.009999999	0	0
0	0.9518335	-0.08824623	2.1523877e-37	-0.011	0	0
0	0.9510456	-0.08913717	2.1665684e-37	-0.012000001	0	0
0	0.9502427	-0.090037026	2.1736751e-37	-0.012999998	0	0
0	0.9494246	-0.09094602	2.196023e-37	-0.0139999995	0	0
0	0.9485905	-0.0918648	2.198618e-37	-0.015	0	0
0	0.94773996	-0.0927934	2.2185855e-37	-0.016	0	0
0	0.9468722	-0.09373295	2.2144206e-37	-0.017000003	0	0
0	0.9459872	-0.094682366	2.284171e-37	-0.018	0	0
0	0.94508374	-0.09564361	2.2680112e-37	-0.019	0	0
0	0.9441613	-0.09661651	2.2920046e-37	-0.019999998	0	0
0	0.94321954	-0.09760128	2.2898163e-37	-0.021	0	0
0	0.9422572	-0.09859886	2.3394373e-37	-0.022	0	0
0	0.94127357	-0.099609986	2.34438e-37	-0.023	0	0
0	0.9402682	-0.100634366	2.3594774e-37	-0.024000002	0	0
0	0.93924	-0.10167334	2.3233309e-37	-0.025000002	0	0
0	0.9381886	-0.10272661	2.359e-37	-0.025999997	0	0
0	0.9371121	-0.103795476	2.3952352e-37	-0.026999999	0	0
0	0.9360101	-0.10488066	2.4007884e-37	-0.027999999	0	0
0	0.9348816	-0.105982535	2.424531e-37	-0.029	0	0
0	0.93372524	-0.107101955	2.4293468e-37	-0.03	0	0
0	0.93253976	-0.108239785	2.4352677e-37	-0.031000001	0	0
0	0.9313242	-0.10939629	2.4676487e-37	-0.032	0	0
0	0.93007696	-0.11057305	2.480596e-37	-0.032999996	0	0
0	0.92879665	-0.111770496	2.4825599e-37	-0.034000006	0	0
0	0.9274819	-0.11298966	2.4759137e-37	-0.035	0	0
0	0.9261311	-0.11423144	2.5409303e-37	-0.036	0	0
0	0.9247423	-0.11549722	2.5063066e-37	-0.037	0	0
0	0.9233136	-0.11678835	2.5097094e-37	-0.038	0	0
0	0.9218432	-0.11810562	2.497605e-37	-0.039	0	0
